day_date,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,date
2021-02-05,0.32238567109751315,0.5795572353119302,0.09805709359055673,9292882.0,2021-02-05
2021-02-06,0.3698366905061089,0.5516094609443593,0.0785538485495319,35499712.0,2021-02-06
2021-02-07,0.37287220695474266,0.3947464672914229,0.23238132575383444,45388049.0,2021-02-07
2021-02-08,0.49903748704887185,0.4051855905289839,0.09577692242214425,280623237.0,2021-02-08
2021-02-09,0.5713316871424438,0.2790325682234466,0.1496357446341097,268020760.0,2021-02-09
2021-02-10,0.5424275361658726,0.335979066534461,0.12159339729966642,205278194.0,2021-02-10
2021-02-13,0.24069486844461713,0.6734348833004128,0.08587024825497012,218208441.0,2021-02-13
2021-02-14,0.29512129008931587,0.5258711682994192,0.17900754161126495,210471071.0,2021-02-14
2021-02-15,0.332210120017833,0.4375702175140357,0.23021966246813133,233537711.0,2021-02-15
2021-02-18,0.4882164285403349,0.39659092598510165,0.11519264547456341,280489070.0,2021-02-18
2021-02-19,0.45500491931701903,0.4212089292120325,0.12378615147094846,557437138.0,2021-02-19
2021-02-22,0.4731167630615196,0.4105327840334582,0.11635045290502213,547097157.0,2021-02-22
2021-02-28,0.4681143423518736,0.41475826783876796,0.11712738980935847,224517229.0,2021-02-28
2021-03-11,0.09434501910980816,0.7846830908759604,0.12097189001423145,32516025.0,2021-03-11
2021-03-12,0.49105628377215876,0.4263543886556116,0.08258932757222964,430559166.0,2021-03-12
2021-04-05,0.4137384199136643,0.5033953540883519,0.08286622599798381,217458763.0,2021-04-05
2021-04-06,0.2890128424742924,0.5316672120242215,0.17931994550148608,406176947.0,2021-04-06
2021-04-07,0.2604360762417368,0.590713295356834,0.14885062840142918,491037712.0,2021-04-07
2021-04-08,0.3016543850030276,0.502893413782465,0.1954522012145074,607225282.0,2021-04-08
2021-04-09,0.2611068181236151,0.5684934987587195,0.17039968311766543,450069898.0,2021-04-09
2021-04-10,0.3415954537661045,0.4903897234099025,0.16801482282399302,574966282.0,2021-04-10
2021-04-11,0.2824290206157237,0.6141351411375692,0.10343583824670717,251217909.0,2021-04-11
2021-04-12,0.48735110751699895,0.3895160311321931,0.12313286135080799,357614511.0,2021-04-12
2021-04-17,0.19722614056720097,0.5491886559802712,0.2535852034525277,26357500.0,2021-04-17
2021-04-18,0.17475084982375316,0.5480578278424576,0.27719132233378924,438644482.0,2021-04-18
2021-04-19,0.16231773091610743,0.5622514024077372,0.2754308666761554,462069791.0,2021-04-19
2021-04-20,0.2034263298976716,0.45314874391904486,0.3434249261832836,421695471.0,2021-04-20
2021-04-21,0.2092055749130421,0.516442369961223,0.27435205512573496,371385452.0,2021-04-21
2021-04-22,0.1962199079392888,0.5805644761442889,0.22321561591642236,331253361.0,2021-04-22
2021-04-23,0.25765543940965563,0.4983974063650284,0.243947154225316,331719463.0,2021-04-23
2021-04-24,0.23516990160192525,0.5310393119108325,0.2337907864872422,166127539.0,2021-04-24
2021-05-25,0.19560978047598168,0.5392607299270263,0.26512948959699195,122679469.0,2021-05-25
2021-05-26,0.26657975450605836,0.547864069930869,0.18555617556307263,178404647.0,2021-05-26
2021-05-27,0.22833694984664388,0.5347734454694796,0.23688960468387654,84180528.0,2021-05-27
2021-05-28,0.19613413409291228,0.586138741873662,0.2177271240334257,43127052.0,2021-05-28
2021-05-29,0.23674441332750332,0.5784511559513479,0.18480443072114877,3112631.0,2021-05-29
